Opn_Id;TRet_Id;Defauls
2140;63;"Point d’arrêt début ou fin de couture non fait "
2209;50;"Raccord sur toute couture sauf le glaçage, montage ou assemblage à la piqueuse plate (coutures cachées) "
2080;53;"Valeur de couture assemblage et montage bonnet  > ou < 1mm "
2117;49;"Point sauté >1 point sur la recouvrement "
2269;72;"Décalage de couture côté >1mm  "
2436;70;"Plis sur couture "
2388;01;Mesures
2247;49;"Point sauté >1 point sur la recouvrement "
5005;47;"Echappée de couture autre que glaçage : "
2185;53;"Valeur de couture assemblage et montage bonnet  > ou < 1mm "
5025;23;"Décalage agrafage "
2140;75;Séparateur incliné
2380;74;Manque Accessoire
NUANCE;03;Tâche, nuance coloris
2164;43;Mesures : Elastiquage dessous de bras, basque, taille, cuisse > ou < 5mm hors tolérance 
2032;04;Défaut dentelle, broderie, fourniture
1539;45;Fourniture ou article coupé ou troué 
5072;09;Longueur point d’arrêt (sans échappé, sans trou, non coupé)
2095;63;"Point d’arrêt début ou fin de couture non fait "
2355;20;"Grignage couture, Embu "
2007;45;Fourniture ou article coupé ou troué 
2355;62;"Pose agrafage sans point d’arrêt "
2589;64;"Point mal réglé (qui glisse) "
2071;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2200;48;Point sauté (à partir de 2 points) sur la même couture sauf recouvrement
2389;52;"Valeur de couture > ou = 2mm par rapport à la valeur demandée "
2170;46;Craquage de couture 
2264;70;"Plis sur couture "
2398;44;Couture déformée, retournée
2331;44;Couture déformée, retournée
2105;45;Fourniture ou article coupé ou troué 
2220;48;Point sauté (à partir de 2 points) sur la même couture sauf recouvrement
5040;24;"Fil  > 3mm pour les postes à couper à ras "
2152;08;Qualité des surpiqûres
2416;70;"Plis sur couture "
2083;72;"Décalage de couture côté >1mm  "
2312;70;"Plis sur couture "
"5073 ";53;"Valeur de couture assemblage et montage bonnet  > ou < 1mm "
1539;63;"Point d’arrêt début ou fin de couture non fait "
5999;72;"Décalage de couture côté >1mm  "
2344;72;"Décalage de couture côté >1mm  "
5040;65;"Point d’arrêt défectueux (non piqué) "
1111;63;"Point d’arrêt début ou fin de couture non fait "
2011;64;"Point mal réglé (qui glisse) "
2190;63;"Point d’arrêt début ou fin de couture non fait "
2090;04;Défaut dentelle, broderie, fourniture
2315;44;Couture déformée, retournée
2109;45;Fourniture ou article coupé ou troué 
5060;74;Manque Accessoire
2352;60;"Bretelle mal positionnée sur balconnet "
2244;46;Craquage de couture 
1547;70;"Plis sur couture "
